,Unnamed: 0,行政区,总价,地点,车位,最低首付,参考月供,环线信息,小区名称,房源编号,房屋户型,配备电梯,areas,供暖方式,所在楼层,装修情况,房屋朝向,上次交易,房本年限,售房原因,房屋类型,挂牌均价,建筑年代,物业类型,楼栋总数,房屋总数,物业公司,开发商,挂牌房源,area,平方米
0,0,虹口,850,逸仙路432弄,无,297.5万,29323元,中外环,久久公寓(虹口江湾镇)地图,sh4558942举报假一赔百细则,3室2厅2卫,有(一梯二户),157.23平,暂无数据,低区/8层,中装,南,2002-04-02,满五,置换,住宅 - 公寓,57614元/平,2001年,住宅 - 公寓,11栋,189户,上环房地产物业,上海上环房地产开发有限公司,7套在售二手房1套在租房源,157.23,
1,1,长宁,960,淮海西路358弄1-5号,无,336万,33117元,内环内,淮海世纪花苑(长宁新华路)地图,sh4702459举报假一赔百细则,4室2厅2卫,有(二梯二户),148.49平,暂无数据,低区/20层,精装,南,2002-12-01,满五,折现,住宅 - 公寓,71844元/平,2002年,住宅 - 公寓,5栋,121户,上海绿地物业服务有限公司、绿地物业,上海兴宇集团有限公司,2套在售二手房2套在租房源,148.49,
2,2,长宁,258,"虹梅路3818弄, 虹梅路3800弄",无,90.3万,8900元,中外环,虹延小区(长宁西郊)地图,sh4549676举报假一赔百细则,1室1厅1卫,暂无数据,40.53平,暂无数据,中区/5层,暂无数据,南,暂无数据,满五,折现,住宅 - 公寓,66228元/平,1995~1999年,住宅 - 公寓、住宅 - 新里,29栋,425户,上海虹霞物业管理公司、古北物业,上海隆昇工程建筑公司,14套在售二手房9套在租房源,40.53,
3,3,杨浦,500,双阳路666弄,无,175万,17249元,内中环,双花公寓(杨浦黄兴公园)地图,sh4543965举报假一赔百细则,2室1厅1卫,有(二梯八户),77.7平,暂无数据,中区/19层,精装,南,暂无数据,满五,置换,住宅 - 公寓,67992元/平,1984~1991年,住宅 - 公寓,6栋,680户,上海杨浦区市政建设物业有限公司、上海杨浦物业管理有限公司,上海凯晨房地产开发有限公司,24套在售二手房5套在租房源,77.7,
4,4,虹口,250,"大连西路201弄,天宝西路248弄",无,87.5万,8624元,内环内,大二小区(虹口曲阳)地图,sh4534309举报假一赔百细则,1室0厅1卫,暂无数据,37.6平,暂无数据,低区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,62633元/平,1957~1996年,住宅 - 公寓、商业类、住宅 - 新里,68栋,1807户,上海新长宁集团华阳物业有限公司、上海宏阳物业有限公司、宏阳物业,上海新长宁集团有限公司,32套在售二手房1套在租房源,37.6,
5,5,长宁,296,长宁路476弄,无,103.6万,10211元,内环内,金谷苑(长宁中山公园)地图,sh4528857举报假一赔百细则,1室0厅1卫,有(二梯十户),42.98平,暂无数据,低区/19层,中装,南,暂无数据,满五,折现,住宅 - 公寓,75390元/平,1994年,住宅 - 公寓,3栋,552户,上海申达物业发展公司,长宁集团,5套在售二手房3套在租房源,42.98,
6,6,闸北,930,广中西路99弄,无,325.5万,32082元,内中环,新梅共和城(闸北大宁)地图,sh4429161举报假一赔百细则,3室2厅1卫,有(一梯二户),115.74平,暂无数据,低区/14层,精装,南北,2007-01-01,满五,置换,住宅 - 公寓,77908元/平,2002~2006年,住宅 - 公寓、商业类,88栋,2508户,上海兴盛物业有限公司、上海上实物业管理有限公司、兴盛物业,上海新梅房地产开发有限公司,28套在售二手房10套在租房源,115.74,
7,7,黄浦,1120,方斜路269号,无,392万,38637元,内环内,南文大厦(黄浦老西门)地图,sh4366648举报假一赔百细则,3室2厅2卫,有(二梯六户),145.12平,暂无数据,中区/27层,中装,南,2002-06-28,满五,折现,住宅 - 公寓,79796元/平,暂无信息,住宅 - 公寓,1栋,141户,上海文化花园物业管理有限公司,上海文中房产开发经营公司,6套在售二手房1套在租房源,145.12,
8,8,闵行,590,碧秀路98弄,暂无数据,206.5万,20353元,外环外,紫欣公寓(闵行莘庄)地图,sh4759832举报假一赔百细则,2室2厅1卫,有(一梯二户),113.83平,暂无数据,低区/11层,简装,南,暂无数据,满五,折现,住宅 - 公寓,57754元/平,1999~2003年,住宅 - 公寓、住宅 - 写字楼,12栋,489户,上海紫泰物业管理公司、紫泰物业,上海紫都置业发展有限公司,9套在售二手房6套在租房源,113.83,
9,9,长宁,1450,新华路666弄,无,507.5万,50021元,内环内,申亚新华府(长宁新华路)地图,sh4568044举报假一赔百细则,4室2厅2卫,有(二梯三户),189.59平,暂无数据,低区/30层,精装,南北,2004-11-18,满五,折现,住宅 - 公寓,84174元/平,2002年,住宅 - 公寓,4栋,233户,上海银湾物业管理有限公司,上海申亚房地产有限公司,7套在售二手房3套在租房源,189.59,
10,10,浦东,380,"长清路643弄, 长清路693弄, 长清路773弄, 长清路807弄, 长清路837弄",无,133万,13109元,内中环,南杨小区(浦东三林)地图,sh4546802举报假一赔百细则,2室1厅1卫,暂无数据,65.58平,暂无数据,低区/6层,中装,南北,2009-03-07,满五,折现,住宅 - 公寓,57419元/平,1994~2001年,住宅 - 公寓,164栋,3162户,天津丰凯物业管理有限公司、上海三杨物业公司,上海仁和置业有限公司、仁和房产公司,20套在售二手房13套在租房源,65.58,
11,11,杨浦,615,吉浦路375弄,无,215.2万,21216元,中外环,文化名园(杨浦五角场)地图,sh4527757举报假一赔百细则,3室2厅1卫,暂无数据,106.02平,暂无数据,高区/6层,中装,南北,2009-07-21,满五,置换,住宅 - 公寓,68496元/平,2002~2003年,住宅 - 公寓,46栋,794户,上海诚意物业管理有限公司,上海万国企业发展有限公司,18套在售二手房5套在租房源,106.02,
12,12,闵行,810,虹梅路3318弄,无,283.5万,27943元,中外环,虹田苑(闵行金虹桥)地图,sh4513743举报假一赔百细则,3室2厅1卫,有(一梯二户),112.97平,暂无数据,中区/11层,精装,南北,2006-01-08,满五,置换,住宅 - 公寓,77871元/平,2003~2005年,住宅 - 公寓,13栋,200户,上海宝鼎物业管理有限公司,上海虹田房地产置业有限公司,5套在售二手房1套在租房源,112.97,
13,13,杨浦,182,控江五村,暂无数据,63.7万,6279元,内中环,控江五村(杨浦黄兴公园)地图,sh4478927举报假一赔百细则,1室0厅1卫,暂无数据,31.38平,暂无数据,高区/5层,精装,南,暂无数据,满五,其它,住宅 - 公寓,62104元/平,1957~2007年,住宅 - 公寓,127栋,3221户,卫百辛集团物业、卫百辛物业,老上海黄兴房产开发公司、老上海黄兴房产公司,63套在售二手房10套在租房源,31.38,
14,14,宝山,455,共富二村,无,159.2万,15696元,中外环,共富二村(宝山共富)地图,sh4436863举报假一赔百细则,3室2厅1卫,暂无数据,109.85平,暂无数据,中区/6层,精装,南北,2007-01-15,满五,置换,住宅 - 公寓,住宅 - 公寓、住宅 - 新里,265栋,3370户,上海泰发物业发展公司,上海宝发房地产开发有限公司,57套在售二手房7套在租房源,,,109.85,
15,15,闸北,1050,"广延路1188弄（三期）, 共和新路2999弄（一期）",有,367.5万,36222元,内中环,明园森林都市(闸北大宁)地图,sh4367778举报假一赔百细则,3室2厅2卫,有(二梯六户),147.9平,暂无数据,低区/33层,毛坯,南北,2013-04-26,满二,置换,住宅 - 公寓,77681元/平,2007~2013年,住宅 - 公寓,18栋,2220户,上海恒联物业有限公司、上海诚悦物业管理有限公司,上海东北明园实业发展有限公司,45套在售二手房15套在租房源,147.9,
16,16,长宁,330,"长顺路21-81号,长顺路95-100号,中华新村94-100号",无,115.5万,11384元,内环内,中华小区(长宁新华路)地图,sh4233273举报假一赔百细则,2室0厅1卫,暂无数据,47.67平,暂无数据,中区/7层,精装,南,2014-04-02,满二,变现,住宅 - 公寓,72580元/平,1977~1997年,住宅 - 公寓、住宅 - 新里,45栋,1082户,上海新华物业公司、新华物业,上海新长宁集团有限公司、长宁集团,32套在售二手房8套在租房源,47.67,
17,17,浦东,410,"崂山路644弄,崂山路638弄,浦电路330弄",无,143.5万,14144元,内环内,潍坊九村(浦东潍坊)地图,sh4858934举报假一赔百细则,1室0厅1卫,暂无数据,36.98平,暂无数据,高区/6层,精装,南,1998-07-13,满五,折现,住宅 - 公寓,103106元/平,1986~1987年,住宅 - 公寓,109栋,2386户,上海浦东新区潍坊物业公司、潍坊物业,上海建工房产有限公司,38套在售二手房20套在租房源,36.98,
18,18,闵行,525,银都路3536弄,无,183.8万,18111元,外环外,好世凤凰城(闵行颛桥)地图,sh4865790举报假一赔百细则,2室2厅1卫,暂无数据,89.33平,暂无数据,中区/4层,精装,南北,暂无数据,满五,置换,住宅 - 公寓,55207元/平,2003~2004年,住宅 - 公寓,166栋,1648户,上海景瑞物业管理有限公司、上海和迅物业管理有限公司,上海好世置业有限公司,19套在售二手房7套在租房源,89.33,
19,19,徐汇,1450,汇站街126弄,有,507.5万,50021元,内环内,颐峰苑(徐汇徐家汇)地图,sh4863150举报假一赔百细则,3室2厅2卫,有(二梯三户),141.16平,暂无数据,低区/18层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,102720元/平,2005年,住宅 - 公寓,3栋,141户,上海云峰集团有限公司,上海荣峰房地产开发有限公司,1套在售二手房1套在租房源,141.16,
